lat,lng,angle,windspeed
37.5537641,127.0805694,0.0,1.7000000476837158
37.4661409,126.8997788,225.0,2.200000047683716
37.5738058,127.0850044,0.0,2.0
37.6390627,127.066315,0.0,0.800000011920929
37.5900002,127.0695389,0.0,2.299999952316284
37.5290012,127.1260331,15.0,0.800000011920929
37.5990368,127.0352315,15.0,1.399999976158142
37.502998,127.1280952,15.0,0.8999999761581421
37.555658,126.9922369,195.0,1.2000000476837158
37.51625,126.94515,195.0,1.399999976158142
37.5534968,127.0029943,195.0,1.7999999523162842
37.5707112,126.9889739,195.0,1.2999999523162842
37.4801882,126.9856076,195.0,1.600000023841858
37.5564606,126.8718303,210.0,1.399999976158142
37.53894,127.041641,210.0,1.600000023841858
37.517305,127.047502,210.0,1.399999976158142
37.5379133,126.8843772,210.0,2.799999952316284
37.4913771,126.8834703,210.0,1.399999976158142
37.5734407,126.90072,210.0,1.600000023841858
37.6467676,127.043758,210.0,0.4000000059604645
37.6037201,126.9279226,210.0,2.0
37.5454584,126.969896,210.0,1.7999999523162842
37.5807597,126.9315574,210.0,1.2999999523162842
37.4895353,126.9481613,180.0,1.2999999523162842
37.6183062,127.0238672,225.0,1.399999976158142
37.5281345,126.8765349,0.0,1.7000000476837158
